"","Received.Year","Received.Month","Report.Date","County.Name","Animal.Classification","Number.of.Samples","Positive.Samples","Latitude.Center.Point","Longitude.Center.Point","Geocode"
"13229",2012,8,NA,"Chenango","Fox",1,0,42.53122,-75.52378,"POINT (-75.52378 42.53122)"
"13230",2016,5,NA,"Columbia","Bat",2,0,42.25177,-73.78788,"POINT (-73.78788 42.25177)"
"13231",2020,10,NA,"St. Lawrence","Cat",1,0,44.59563,-75.16923,"POINT (-75.16923 44.59563)"
"13232",2008,6,NA,"Rockland","Bat",1,0,41.14742,-73.98943,"POINT (-73.98943 41.14742)"
"13233",2012,7,NA,"Schenectady","Dog",6,0,42.81422,-73.9441,"POINT (-73.9441 42.81422)"
"13234",2020,7,NA,"Montgomery","Bat",1,0,42.95571,-74.37199,"POINT (-74.37199 42.95571)"
"13235",2015,2,NA,"Dutchess","Dog",1,0,41.76569,-73.74322,"POINT (-73.74322 41.76569)"
"13236",2008,7,NA,"Oneida","Rodents",2,0,43.10205,-75.23,"POINT (-75.23 43.10205)"
"13237",2019,9,NA,"Niagara","Bat",5,2,43.16886,-78.69685,"POINT (-78.69685 43.16886)"
"13238",2016,8,NA,"Schuyler","Cattle",1,0,42.39501,-76.87556,"POINT (-76.87556 42.39501)"
"13239",2012,8,NA,"Saratoga","Dog",2,0,43.0106,-73.84956,"POINT (-73.84956 43.0106)"
"13240",2017,10,NA,"Rensselaer","Dog",1,0,42.72768,-73.69106,"POINT (-73.69106 42.72768)"
"13241",2018,2,NA,"Oneida","Cat",1,0,43.10205,-75.23,"POINT (-75.23 43.10205)"
"13242",2021,2,NA,"Broome","Dog",1,0,42.0987,-75.91254,"POINT (-75.91254 42.0987)"
"13243",2014,3,NA,"Broome","Bat",1,0,42.0987,-75.91254,"POINT (-75.91254 42.0987)"
"13244",2018,9,NA,"Chautauqua","Rodents",1,0,42.25171,-79.50169,"POINT (-79.50169 42.25171)"
"13245",2012,4,NA,"Nassau","Bat",1,0,40.74607,-73.63462,"POINT (-73.63462 40.74607)"
"13246",2021,1,NA,"Cayuga","Cat",1,0,43.01032,-76.57435,"POINT (-76.57435 43.01032)"
"13247",2010,5,NA,"Steuben","Dog",2,0,42.26781,-77.38381,"POINT (-77.38381 42.26781)"
"13248",2023,6,NA,"Oswego","Fox",1,1,43.4576,-76.50769,"POINT (-76.50769 43.4576)"
"13249",2018,6,NA,"Niagara","Domestic Other",1,0,43.16886,-78.69685,"POINT (-78.69685 43.16886)"
"13250",2014,6,NA,"Seneca","Bat",1,0,42.78105,-76.82376,"POINT (-76.82376 42.78105)"
"13251",2007,11,NA,"Erie","Wild Other",2,0,42.75816,-78.77966,"POINT (-78.77966 42.75816)"
"13252",2020,2,NA,"Tompkins","Dog",1,0,42.45201,-76.47367,"POINT (-76.47367 42.45201)"
"13253",2008,2,NA,"Westchester","Rodents",2,0,41.122,-73.7949,"POINT (-73.7949 41.122)"
"13254",2014,3,NA,"St. Lawrence","Bat",1,0,44.59563,-75.16923,"POINT (-75.16923 44.59563)"
"13255",2013,7,NA,"Tompkins","Bat",14,1,42.45201,-76.47367,"POINT (-76.47367 42.45201)"
"13256",2014,9,NA,"Otsego","Dog",1,0,42.70102,-74.9268,"POINT (-74.9268 42.70102)"
"13257",2023,6,NA,"Essex","Fox",2,1,44.21634,-73.59043,"POINT (-73.59043 44.21634)"
"13258",2009,7,NA,"Saratoga","Rodents",2,0,43.0106,-73.84956,"POINT (-73.84956 43.0106)"
"13259",2023,9,NA,"Franklin","Domestic Other",2,0,44.84888,-74.29136,"POINT (-74.29136 44.84888)"
"13260",2014,11,NA,"Herkimer","Bat",2,0,43.02599,-74.98441,"POINT (-74.98441 43.02599)"
"13261",2008,4,NA,"Madison","Cat",1,0,42.91287,-75.66973,"POINT (-75.66973 42.91287)"
"13262",2013,4,NA,"Sullivan","Dog",1,0,41.65454,-74.68491,"POINT (-74.68491 41.65454)"
"13263",2008,2,NA,"Onondaga","Bat",2,0,43.04794,-76.14745,"POINT (-76.14745 43.04794)"
"13264",2011,1,NA,"Steuben","Bat",3,0,42.26781,-77.38381,"POINT (-77.38381 42.26781)"
"13265",2016,12,NA,"Rensselaer","Dog",3,0,42.72768,-73.69106,"POINT (-73.69106 42.72768)"
"13266",2018,10,NA,"Saratoga","Dog",1,0,43.0106,-73.84956,"POINT (-73.84956 43.0106)"
"13267",2007,8,NA,"Montgomery","Bat",1,0,42.95571,-74.37199,"POINT (-74.37199 42.95571)"
"13268",2023,3,NA,"Fulton","Cat",1,0,43.0069,-74.37424,"POINT (-74.37424 43.0069)"
"13269",2011,8,NA,"Orange","Skunk",1,0,41.40219,-74.3241,"POINT (-74.3241 41.40219)"
"13270",2009,8,NA,"Warren","Dog",1,0,43.42622,-73.71242,"POINT (-73.71242 43.42622)"
"13271",2015,5,NA,"Cayuga","Bat",4,0,43.01032,-76.57435,"POINT (-76.57435 43.01032)"
"13272",2008,6,NA,"Saratoga","Rodents",1,0,43.0106,-73.84956,"POINT (-73.84956 43.0106)"
"13273",2008,7,NA,"Monroe","Skunk",1,0,43.15571,-77.61255,"POINT (-77.61255 43.15571)"
"13274",2017,4,NA,"Allegany","Cat",3,0,42.34332,-78.11192,"POINT (-78.11192 42.34332)"
"13275",2019,1,NA,"Fulton","Wild Other",1,0,43.0069,-74.37424,"POINT (-74.37424 43.0069)"
"13276",2016,6,NA,"Fulton","Dog",2,0,43.0069,-74.37424,"POINT (-74.37424 43.0069)"
"13277",2020,9,NA,"Erie","Fox",1,0,42.75816,-78.77966,"POINT (-78.77966 42.75816)"
"13278",2018,6,NA,"Orleans","Cattle",1,0,43.24625,-78.19376,"POINT (-78.19376 43.24625)"
"13279",2014,12,NA,"Schoharie","Dog",1,0,42.66587,-74.30988,"POINT (-74.30988 42.66587)"
"13280",2020,7,NA,"Columbia","Bat",4,0,42.25177,-73.78788,"POINT (-73.78788 42.25177)"
"13281",2017,10,NA,"Albany","Cat",2,0,42.6526,-73.7562,"POINT (-73.7562 42.6526)"
"13282",2023,12,NA,"Monroe","Bat",3,0,43.15571,-77.61255,"POINT (-77.61255 43.15571)"
"13283",2020,6,NA,"Ulster","Domestic Other",1,0,41.92706,-73.99762,"POINT (-73.99762 41.92706)"
"13284",2017,9,NA,"Niagara","Skunk",1,0,43.16886,-78.69685,"POINT (-78.69685 43.16886)"
"13285",2010,8,NA,"Oneida","Bat",23,0,43.10205,-75.23,"POINT (-75.23 43.10205)"
"13286",2023,11,NA,"Tioga","Cat",2,0,42.17028,-76.30633,"POINT (-76.30633 42.17028)"
"13287",2020,7,NA,"Warren","Cat",1,0,43.42622,-73.71242,"POINT (-73.71242 43.42622)"
"13288",2024,3,NA,"Dutchess","Bat",6,0,41.76569,-73.74322,"POINT (-73.74322 41.76569)"
"13289",2016,8,NA,"Delaware","Skunk",1,1,42.27959,-74.91376,"POINT (-74.91376 42.27959)"
"13290",2021,1,NA,"Jefferson","Raccoon",1,0,43.97238,-75.91125,"POINT (-75.91125 43.97238)"
"13291",2022,8,NA,"Wayne","Bat",8,0,43.06169,-76.99171,"POINT (-76.99171 43.06169)"
"13292",2009,12,NA,"Sullivan","Cat",1,0,41.65454,-74.68491,"POINT (-74.68491 41.65454)"
"13293",2009,11,NA,"Broome","Cat",1,0,42.0987,-75.91254,"POINT (-75.91254 42.0987)"
"13294",2020,1,NA,"Dutchess","Cat",1,0,41.76569,-73.74322,"POINT (-73.74322 41.76569)"
"13295",2013,1,NA,"Onondaga","Bat",3,0,43.04794,-76.14745,"POINT (-76.14745 43.04794)"
"13296",2013,8,NA,"Putnam","Bat",32,1,41.42733,-73.74847,"POINT (-73.74847 41.42733)"
"13297",2023,6,NA,"Niagara","Rodents",1,0,43.16886,-78.69685,"POINT (-78.69685 43.16886)"
"13298",2014,4,NA,"Essex","Raccoon",1,0,44.21634,-73.59043,"POINT (-73.59043 44.21634)"
"13299",2014,1,NA,"Albany","Cat",1,0,42.6526,-73.7562,"POINT (-73.7562 42.6526)"
"13300",2022,7,NA,"Cortland","Dog",1,0,42.60121,-76.18048,"POINT (-76.18048 42.60121)"
"13301",2008,6,NA,"Oswego","Bat",9,0,43.4576,-76.50769,"POINT (-76.50769 43.4576)"
"13302",2008,5,NA,"Westchester","Skunk",1,1,41.122,-73.7949,"POINT (-73.7949 41.122)"
"13303",2016,9,NA,"Madison","Dog",1,0,42.91287,-75.66973,"POINT (-75.66973 42.91287)"
"13304",2019,4,NA,"Suffolk","Rodents",1,0,40.91701,-72.66214,"POINT (-72.66214 40.91701)"
"13305",2014,8,NA,"Ulster","Raccoon",1,1,41.92706,-73.99762,"POINT (-73.99762 41.92706)"
"13306",2016,5,NA,"Chautauqua","Cat",1,0,42.25171,-79.50169,"POINT (-79.50169 42.25171)"
"13307",2016,2,NA,"Suffolk","Domestic Other",1,0,40.91701,-72.66214,"POINT (-72.66214 40.91701)"
"13308",2015,10,NA,"St. Lawrence","Dog",1,0,44.59563,-75.16923,"POINT (-75.16923 44.59563)"
"13309",2017,8,NA,"Chenango","Wild Other",1,0,42.53122,-75.52378,"POINT (-75.52378 42.53122)"
"13310",2009,8,NA,"Herkimer","Raccoon",1,1,43.02599,-74.98441,"POINT (-74.98441 43.02599)"
"13311",2010,5,NA,"Erie","Dog",10,0,42.75816,-78.77966,"POINT (-78.77966 42.75816)"
"13312",2022,8,NA,"Steuben","Skunk",1,1,42.26781,-77.38381,"POINT (-77.38381 42.26781)"
"13313",2008,8,NA,"Orleans","Rodents",2,0,43.24625,-78.19376,"POINT (-78.19376 43.24625)"
"13314",2014,9,NA,"Albany","Domestic Other",1,0,42.6526,-73.7562,"POINT (-73.7562 42.6526)"
"13315",2020,10,NA,"Oneida","Dog",1,0,43.10205,-75.23,"POINT (-75.23 43.10205)"
"13316",2010,2,NA,"Rensselaer","Dog",2,0,42.72768,-73.69106,"POINT (-73.69106 42.72768)"
"13317",2018,7,NA,"Niagara","Bat",13,0,43.16886,-78.69685,"POINT (-78.69685 43.16886)"
"13318",2010,12,NA,"Oswego","Cat",2,0,43.4576,-76.50769,"POINT (-76.50769 43.4576)"
"13319",2021,12,NA,"Otsego","Cat",3,0,42.70102,-74.9268,"POINT (-74.9268 42.70102)"
"13320",2015,12,NA,"Saratoga","Dog",2,0,43.0106,-73.84956,"POINT (-73.84956 43.0106)"
"13321",2012,7,NA,"Westchester","Raccoon",3,1,41.122,-73.7949,"POINT (-73.7949 41.122)"
"13322",2009,4,NA,"Nassau","Dog",4,0,40.74607,-73.63462,"POINT (-73.63462 40.74607)"
"13323",2016,7,NA,"Oneida","Bat",10,0,43.10205,-75.23,"POINT (-75.23 43.10205)"
"13324",2011,7,NA,"Cortland","Dog",1,0,42.60121,-76.18048,"POINT (-76.18048 42.60121)"
"13325",2014,6,NA,"Albany","Fox",1,0,42.6526,-73.7562,"POINT (-73.7562 42.6526)"
"13326",2020,7,NA,"Chautauqua","Raccoon",7,2,42.25171,-79.50169,"POINT (-79.50169 42.25171)"
"13327",2010,8,NA,"Wyoming","Cat",3,0,42.74022,-78.13259,"POINT (-78.13259 42.74022)"
"13328",2016,5,NA,"Ulster","Fox",1,1,41.92706,-73.99762,"POINT (-73.99762 41.92706)"
"13329",2019,3,NA,"Essex","Bat",1,0,44.21634,-73.59043,"POINT (-73.59043 44.21634)"
"13330",2022,3,NA,"Essex","Skunk",1,0,44.21634,-73.59043,"POINT (-73.59043 44.21634)"
"13331",2009,7,NA,"Rensselaer","Bat",12,0,42.72768,-73.69106,"POINT (-73.69106 42.72768)"
"13332",2011,9,NA,"Lewis","Dog",1,0,43.78471,-75.44877,"POINT (-75.44877 43.78471)"
"13333",2023,2,NA,"Chautauqua","Dog",1,0,42.25171,-79.50169,"POINT (-79.50169 42.25171)"
"13334",2010,5,NA,"Albany","Raccoon",6,2,42.6526,-73.7562,"POINT (-73.7562 42.6526)"
"13335",2012,4,NA,"Westchester","Raccoon",4,1,41.122,-73.7949,"POINT (-73.7949 41.122)"
"13336",2010,9,NA,"Steuben","Cattle",1,0,42.26781,-77.38381,"POINT (-77.38381 42.26781)"
"13337",2020,12,NA,"Clinton","Dog",2,0,44.69967,-73.45181,"POINT (-73.45181 44.69967)"
"13338",2014,7,NA,"Niagara","Cat",1,0,43.16886,-78.69685,"POINT (-78.69685 43.16886)"
"13339",2014,6,NA,"Columbia","Fox",1,0,42.25177,-73.78788,"POINT (-73.78788 42.25177)"
"13340",2011,3,NA,"Oswego","Raccoon",1,0,43.4576,-76.50769,"POINT (-76.50769 43.4576)"
"13341",2012,6,NA,"Steuben","Fox",1,1,42.26781,-77.38381,"POINT (-77.38381 42.26781)"
"13342",2021,6,NA,"Tompkins","Rodents",1,0,42.45201,-76.47367,"POINT (-76.47367 42.45201)"
"13343",2009,1,NA,"Putnam","Bat",4,0,41.42733,-73.74847,"POINT (-73.74847 41.42733)"
"13344",2021,1,NA,"Lewis","Domestic Other",1,0,43.78471,-75.44877,"POINT (-75.44877 43.78471)"
"13345",2023,7,NA,"Niagara","Raccoon",9,1,43.16886,-78.69685,"POINT (-78.69685 43.16886)"
"13346",2015,8,NA,"Suffolk","Cat",2,0,40.91701,-72.66214,"POINT (-72.66214 40.91701)"
"13347",2022,8,NA,"Franklin","Wild Other",1,0,44.84888,-74.29136,"POINT (-74.29136 44.84888)"
"13348",2022,3,NA,"Lewis","Fox",1,0,43.78471,-75.44877,"POINT (-75.44877 43.78471)"
"13349",2008,9,NA,"Onondaga","Rodents",1,0,43.04794,-76.14745,"POINT (-76.14745 43.04794)"
"13350",2011,7,NA,"Ulster","Dog",1,0,41.92706,-73.99762,"POINT (-73.99762 41.92706)"
"13351",2010,8,NA,"Livingston","Dog",1,0,42.80006,-77.81584,"POINT (-77.81584 42.80006)"
"13352",2020,7,NA,"Ulster","Bat",34,0,41.92706,-73.99762,"POINT (-73.99762 41.92706)"
"13353",2020,5,NA,"Yates","Dog",1,0,42.66095,-77.05365,"POINT (-77.05365 42.66095)"
"13354",2023,8,NA,"Hamilton","Dog",1,0,43.47081,-74.41132,"POINT (-74.41132 43.47081)"
"13355",2010,10,NA,"Albany","Wild Other",3,0,42.6526,-73.7562,"POINT (-73.7562 42.6526)"
"13356",2017,12,NA,"Niagara","Cat",1,0,43.16886,-78.69685,"POINT (-78.69685 43.16886)"
"13357",2020,8,NA,"Oswego","Fox",1,0,43.4576,-76.50769,"POINT (-76.50769 43.4576)"
"13358",2018,12,NA,"Washington","Raccoon",1,1,43.26707,-73.58484,"POINT (-73.58484 43.26707)"
"13359",2021,3,NA,"Erie","Rodents",2,0,42.75816,-78.77966,"POINT (-78.77966 42.75816)"
"13360",2018,7,NA,"Tompkins","Raccoon",3,3,42.45201,-76.47367,"POINT (-76.47367 42.45201)"
"13361",2014,11,NA,"Columbia","Dog",1,0,42.25177,-73.78788,"POINT (-73.78788 42.25177)"
"13362",2009,1,NA,"Chenango","Bat",2,0,42.53122,-75.52378,"POINT (-75.52378 42.53122)"
"13363",2020,5,NA,"Niagara","Dog",3,0,43.16886,-78.69685,"POINT (-78.69685 43.16886)"
"13364",2010,4,NA,"Otsego","Bat",1,0,42.70102,-74.9268,"POINT (-74.9268 42.70102)"
"13365",2013,9,NA,"Columbia","Bat",1,0,42.25177,-73.78788,"POINT (-73.78788 42.25177)"
"13366",2021,12,NA,"Erie","Raccoon",5,0,42.75816,-78.77966,"POINT (-78.77966 42.75816)"
"13367",2009,10,NA,"Washington","Dog",1,0,43.26707,-73.58484,"POINT (-73.58484 43.26707)"
"13368",2012,7,NA,"Columbia","Wild Other",1,0,42.25177,-73.78788,"POINT (-73.78788 42.25177)"
"13369",2017,4,NA,"Dutchess","Bat",4,0,41.76569,-73.74322,"POINT (-73.74322 41.76569)"
"13370",2010,7,NA,"Rockland","Skunk",1,0,41.14742,-73.98943,"POINT (-73.98943 41.14742)"
"13371",2023,8,NA,"Cortland","Bat",4,0,42.60121,-76.18048,"POINT (-76.18048 42.60121)"
"13372",2011,6,NA,"Schenectady","Cat",7,0,42.81422,-73.9441,"POINT (-73.9441 42.81422)"
"13373",2022,12,NA,"Oneida","Raccoon",1,1,43.10205,-75.23,"POINT (-75.23 43.10205)"
"13374",2010,8,NA,"Columbia","Cat",1,0,42.25177,-73.78788,"POINT (-73.78788 42.25177)"
"13375",2023,4,NA,"St. Lawrence","Fox",2,0,44.59563,-75.16923,"POINT (-75.16923 44.59563)"
"13376",2019,8,NA,"Warren","Skunk",1,0,43.42622,-73.71242,"POINT (-73.71242 43.42622)"
"13377",2008,1,NA,"Niagara","Bat",1,0,43.16886,-78.69685,"POINT (-78.69685 43.16886)"
"13378",2022,2,NA,"Rockland","Dog",1,0,41.14742,-73.98943,"POINT (-73.98943 41.14742)"
"13379",2020,10,NA,"Montgomery","Skunk",1,1,42.95571,-74.37199,"POINT (-74.37199 42.95571)"
"13380",2014,3,NA,"Tioga","Wild Other",1,0,42.17028,-76.30633,"POINT (-76.30633 42.17028)"
"13381",2023,3,NA,"Westchester","Bat",4,0,41.122,-73.7949,"POINT (-73.7949 41.122)"
"13382",2015,8,NA,"Dutchess","Bat",18,0,41.76569,-73.74322,"POINT (-73.74322 41.76569)"
"13383",2016,1,NA,"Suffolk","Cat",3,0,40.91701,-72.66214,"POINT (-72.66214 40.91701)"
"13384",2010,9,NA,"Montgomery","Dog",1,0,42.95571,-74.37199,"POINT (-74.37199 42.95571)"
"13385",2014,8,NA,"Chenango","Bat",16,0,42.53122,-75.52378,"POINT (-75.52378 42.53122)"
"13386",2008,7,NA,"Yates","Raccoon",2,0,42.66095,-77.05365,"POINT (-77.05365 42.66095)"
"13387",2013,6,NA,"Schoharie","Bat",1,0,42.66587,-74.30988,"POINT (-74.30988 42.66587)"
"13388",2017,10,NA,"Dutchess","Cat",7,0,41.76569,-73.74322,"POINT (-73.74322 41.76569)"
"13389",2019,2,NA,"Albany","Bat",4,0,42.6526,-73.7562,"POINT (-73.7562 42.6526)"
"13390",2024,3,NA,"Steuben","Dog",1,0,42.26781,-77.38381,"POINT (-77.38381 42.26781)"
"13391",2022,5,NA,"Orleans","Cat",1,0,43.24625,-78.19376,"POINT (-78.19376 43.24625)"
"13392",2008,7,NA,"Columbia","Rodents",4,0,42.25177,-73.78788,"POINT (-73.78788 42.25177)"
"13393",2011,7,NA,"Chautauqua","Dog",1,0,42.25171,-79.50169,"POINT (-79.50169 42.25171)"
"13394",2009,12,NA,"Onondaga","Rodents",1,0,43.04794,-76.14745,"POINT (-76.14745 43.04794)"
"13395",2023,12,NA,"Onondaga","Dog",4,0,43.04794,-76.14745,"POINT (-76.14745 43.04794)"
"13396",2008,11,NA,"Erie","Rodents",2,0,42.75816,-78.77966,"POINT (-78.77966 42.75816)"
"13397",2014,5,NA,"Erie","Raccoon",10,2,42.75816,-78.77966,"POINT (-78.77966 42.75816)"
"13398",2023,12,NA,"Allegany","Raccoon",1,1,42.34332,-78.11192,"POINT (-78.11192 42.34332)"
"13399",2020,1,NA,"Saratoga","Rodents",1,0,43.0106,-73.84956,"POINT (-73.84956 43.0106)"
"13400",2012,5,NA,"Livingston","Raccoon",1,0,42.80006,-77.81584,"POINT (-77.81584 42.80006)"
"13401",2018,3,NA,"Steuben","Bat",1,0,42.26781,-77.38381,"POINT (-77.38381 42.26781)"
"13402",2019,7,NA,"Cayuga","Cat",4,0,43.01032,-76.57435,"POINT (-76.57435 43.01032)"
"13403",2008,3,NA,"Columbia","Cat",2,0,42.25177,-73.78788,"POINT (-73.78788 42.25177)"
"13404",2016,8,NA,"Ulster","Bat",12,0,41.92706,-73.99762,"POINT (-73.99762 41.92706)"
"13405",2016,6,NA,"St. Lawrence","Wild Other",1,0,44.59563,-75.16923,"POINT (-75.16923 44.59563)"
"13406",2008,10,NA,"Jefferson","Raccoon",4,0,43.97238,-75.91125,"POINT (-75.91125 43.97238)"
"13407",2008,2,NA,"Rockland","Rodents",1,0,41.14742,-73.98943,"POINT (-73.98943 41.14742)"
"13408",2009,4,NA,"Allegany","Bat",2,0,42.34332,-78.11192,"POINT (-78.11192 42.34332)"
"13409",2014,2,NA,"Onondaga","Cat",4,0,43.04794,-76.14745,"POINT (-76.14745 43.04794)"
"13410",2012,5,NA,"Rockland","Bat",3,0,41.14742,-73.98943,"POINT (-73.98943 41.14742)"
"13411",2021,3,NA,"Erie","Bat",31,0,42.75816,-78.77966,"POINT (-78.77966 42.75816)"
"13412",2009,11,NA,"Dutchess","Cat",1,0,41.76569,-73.74322,"POINT (-73.74322 41.76569)"
"13413",2020,7,NA,"Rensselaer","Cat",2,0,42.72768,-73.69106,"POINT (-73.69106 42.72768)"
"13414",2019,4,NA,"Lewis","Bat",1,0,43.78471,-75.44877,"POINT (-75.44877 43.78471)"
"13415",2020,6,NA,"Jefferson","Raccoon",75,0,43.97238,-75.91125,"POINT (-75.91125 43.97238)"
"13416",2008,4,NA,"Saratoga","Raccoon",1,1,43.0106,-73.84956,"POINT (-73.84956 43.0106)"
"13417",2019,2,NA,"Westchester","Dog",2,0,41.122,-73.7949,"POINT (-73.7949 41.122)"
"13418",2015,11,NA,"Montgomery","Bat",1,0,42.95571,-74.37199,"POINT (-74.37199 42.95571)"
"13419",2023,5,NA,"Schenectady","Raccoon",1,1,42.81422,-73.9441,"POINT (-73.9441 42.81422)"
"13420",2022,10,NA,"Suffolk","Dog",2,0,40.91701,-72.66214,"POINT (-72.66214 40.91701)"
"13421",2012,9,NA,"Orleans","Cat",2,0,43.24625,-78.19376,"POINT (-78.19376 43.24625)"
"13422",2008,6,NA,"Schoharie","Bat",2,0,42.66587,-74.30988,"POINT (-74.30988 42.66587)"
"13423",2023,11,NA,"Niagara","Cat",1,0,43.16886,-78.69685,"POINT (-78.69685 43.16886)"
"13424",2020,6,NA,"Westchester","Rodents",3,0,41.122,-73.7949,"POINT (-73.7949 41.122)"
"13425",2019,7,NA,"Madison","Raccoon",3,0,42.91287,-75.66973,"POINT (-75.66973 42.91287)"
"13426",2021,8,NA,"Columbia","Domestic Other",2,0,42.25177,-73.78788,"POINT (-73.78788 42.25177)"
"13427",2011,11,NA,"Clinton","Raccoon",1,0,44.69967,-73.45181,"POINT (-73.45181 44.69967)"
"13428",2008,5,NA,"Sullivan","Bat",2,0,41.65454,-74.68491,"POINT (-74.68491 41.65454)"
"13429",2015,1,NA,"Schenectady","Skunk",1,0,42.81422,-73.9441,"POINT (-73.9441 42.81422)"
"13430",2019,10,NA,"Saratoga","Dog",1,0,43.0106,-73.84956,"POINT (-73.84956 43.0106)"
"13431",2024,4,NA,"Washington","Dog",2,0,43.26707,-73.58484,"POINT (-73.58484 43.26707)"
"13432",2008,2,NA,"Clinton","Wild Other",1,0,44.69967,-73.45181,"POINT (-73.45181 44.69967)"
"13433",2010,5,NA,"Cayuga","Fox",4,1,43.01032,-76.57435,"POINT (-76.57435 43.01032)"
"13434",2011,2,NA,"Ulster","Bat",2,0,41.92706,-73.99762,"POINT (-73.99762 41.92706)"
"13435",2022,1,NA,"Putnam","Bat",4,0,41.42733,-73.74847,"POINT (-73.74847 41.42733)"
"13436",2012,3,NA,"Dutchess","Bat",1,0,41.76569,-73.74322,"POINT (-73.74322 41.76569)"
"13437",2023,8,NA,"Suffolk","Bat",12,0,40.91701,-72.66214,"POINT (-72.66214 40.91701)"
"13438",2012,12,NA,"Seneca","Raccoon",1,0,42.78105,-76.82376,"POINT (-76.82376 42.78105)"
"13439",2020,3,NA,"Monroe","Bat",1,0,43.15571,-77.61255,"POINT (-77.61255 43.15571)"
"13440",2008,7,NA,"Rensselaer","Dog",4,0,42.72768,-73.69106,"POINT (-73.69106 42.72768)"
"13441",2008,3,NA,"Cattaraugus","Cat",1,0,42.24942,-78.79884,"POINT (-78.79884 42.24942)"
"13442",2018,1,NA,"St. Lawrence","Dog",1,0,44.59563,-75.16923,"POINT (-75.16923 44.59563)"
"13443",2009,7,NA,"Ontario","Cat",7,0,42.88749,-77.28249,"POINT (-77.28249 42.88749)"
"13444",2020,3,NA,"Ulster","Cat",2,0,41.92706,-73.99762,"POINT (-73.99762 41.92706)"
"13445",2014,5,NA,"Orange","Cat",5,0,41.40219,-74.3241,"POINT (-74.3241 41.40219)"
"13446",2012,6,NA,"Cortland","Raccoon",1,1,42.60121,-76.18048,"POINT (-76.18048 42.60121)"
"13447",2018,9,NA,"Dutchess","Dog",2,0,41.76569,-73.74322,"POINT (-73.74322 41.76569)"
"13448",2018,6,NA,"Yates","Bat",1,0,42.66095,-77.05365,"POINT (-77.05365 42.66095)"
"13449",2010,12,NA,"Erie","Cat",17,0,42.75816,-78.77966,"POINT (-78.77966 42.75816)"
"13450",2017,7,NA,"Columbia","Dog",2,0,42.25177,-73.78788,"POINT (-73.78788 42.25177)"
"13451",2010,5,NA,"Schoharie","Wild Other",2,0,42.66587,-74.30988,"POINT (-74.30988 42.66587)"
"13452",2013,7,NA,"Jefferson","Bat",10,0,43.97238,-75.91125,"POINT (-75.91125 43.97238)"
"13453",2012,1,NA,"Chenango","Skunk",1,0,42.53122,-75.52378,"POINT (-75.52378 42.53122)"
"13454",2020,8,NA,"Onondaga","Bat",100,0,43.04794,-76.14745,"POINT (-76.14745 43.04794)"
"13455",2016,5,NA,"Steuben","Bat",1,1,42.26781,-77.38381,"POINT (-77.38381 42.26781)"
"13456",2020,7,NA,"Genesee","Raccoon",11,1,42.9838,-78.1564,"POINT (-78.1564 42.9838)"
"13457",2022,8,NA,"Madison","Bat",11,0,42.91287,-75.66973,"POINT (-75.66973 42.91287)"
"13458",2008,8,NA,"Broome","Cat",9,0,42.0987,-75.91254,"POINT (-75.91254 42.0987)"
"13459",2019,6,NA,"Albany","Bat",10,0,42.6526,-73.7562,"POINT (-73.7562 42.6526)"
"13460",2009,10,NA,"Ontario","Cat",3,0,42.88749,-77.28249,"POINT (-77.28249 42.88749)"
"13461",2013,11,NA,"Monroe","Cat",3,0,43.15571,-77.61255,"POINT (-77.61255 43.15571)"
"13462",2020,4,NA,"Westchester","Cat",1,0,41.122,-73.7949,"POINT (-73.7949 41.122)"
"13463",2013,8,NA,"Albany","Cat",3,0,42.6526,-73.7562,"POINT (-73.7562 42.6526)"
"13464",2018,1,NA,"Oswego","Wild Other",1,0,43.4576,-76.50769,"POINT (-76.50769 43.4576)"
"13465",2017,8,NA,"Montgomery","Cat",1,0,42.95571,-74.37199,"POINT (-74.37199 42.95571)"
"13466",2010,10,NA,"Tompkins","Cat",1,0,42.45201,-76.47367,"POINT (-76.47367 42.45201)"
"13467",2015,3,NA,"Dutchess","Bat",1,0,41.76569,-73.74322,"POINT (-73.74322 41.76569)"
"13468",2016,6,NA,"Tompkins","Bat",21,0,42.45201,-76.47367,"POINT (-76.47367 42.45201)"
"13469",2015,7,NA,"Rensselaer","Cat",4,0,42.72768,-73.69106,"POINT (-73.69106 42.72768)"
"13470",2012,6,NA,"Westchester","Dog",2,0,41.122,-73.7949,"POINT (-73.7949 41.122)"
"13471",2019,10,NA,"Albany","Cat",4,0,42.6526,-73.7562,"POINT (-73.7562 42.6526)"
"13472",2024,5,NA,"Cattaraugus","Bat",4,0,42.24942,-78.79884,"POINT (-78.79884 42.24942)"
"13473",2014,9,NA,"Saratoga","Cat",7,1,43.0106,-73.84956,"POINT (-73.84956 43.0106)"
"13474",2024,2,NA,"Albany","Bat",6,0,42.6526,-73.7562,"POINT (-73.7562 42.6526)"
"13475",2018,3,NA,"Livingston","Cat",1,0,42.80006,-77.81584,"POINT (-77.81584 42.80006)"
"13476",2023,1,NA,"Albany","Cat",4,0,42.6526,-73.7562,"POINT (-73.7562 42.6526)"
"13477",2012,7,NA,"Erie","Cat",13,0,42.75816,-78.77966,"POINT (-78.77966 42.75816)"
"13478",2022,3,NA,"Tompkins","Bat",4,0,42.45201,-76.47367,"POINT (-76.47367 42.45201)"
